Z       SCCM   Gamma   Extraction   sigE    vR     sigvR   vZ     sigvZ   Spread
0.064   5      1.215   0.670        0.047   17.3   8.2     60.6   10.6    31.8
0.069   5      1.215   0.670        0.047   19.8   10.7    93.7   12.1    23.9
0.074   5      1.215   0.670        0.047   21.6   10.4    97.6   11.9    24.9
0.084   5      1.215   0.670        0.047   22.0   10.6    99.8   11.8    24.9
0.094   5      1.215   0.670        0.047   22.3   10.5    100.5  11.7    25.1
0.104   5      1.215   0.670        0.047   22.4   10.5    100.8  11.8    25.1
0.064   200    48.614  0.950        0.022   19.2   9.6     109.0  12.5    20.0
0.069   200    48.614  0.950        0.022   44.9   24.8    184.1  13.6    27.4
0.074   200    48.614  0.950        0.022   50.0   26.6    193.4  14.6    29.0
0.084   200    48.614  0.950        0.022   52.1   27.7    197.7  15.4    29.5
0.094   200    48.614  0.950        0.022   52.6   27.8    198.8  15.6    29.7
0.104   200    48.614  0.950        0.022   52.9   27.9    199.4  15.8    29.7
