Z       SCCM   Gamma   Extraction   sigE    vR     sigvR   vZ     sigvZ   Spread
0.064   2      0.486   0.340        0.047   16.6   8.6     51.2   11.2    36.0
0.064   5      1.215   0.670        0.047   17.3   8.2     60.6   10.6    31.8
0.064   10     2.431   0.860        0.035   17.5   8.6     70.4   10.0    28.0
0.064   20     4.861   1.000        0.000   15.7   9.0     77.0   11.5    23.1
0.064   50     12.154  0.990        0.010   17.1   8.1     87.6   10.6    22.1
0.064   100    24.307  1.000        0.000   16.0   7.2     93.0   11.9    19.5
0.064   200    48.614  0.950        0.022   19.2   9.6     109.0  12.5    20.0
0.08    5      1.215   0.670        0.047   21.7   10.6    99.0   11.9    24.7
0.08    20     4.861   1.000        0.000   23.7   12.7    136.4  10.9    19.7
0.08    50     12.154  0.990        0.010   27.7   12.8    161.2  8.2     19.5
0.08    10     2.431   0.860        0.035   24.2   11.5    119.5  11.8    22.9
0.08    2      0.486   0.340        0.047   18.4   9.3     79.8   8.7     25.9
0.08    100    24.307  1.000        0.000   36.9   19.1    174.0  10.0    23.9
0.08    200    48.614  0.950        0.022   51.7   27.2    196.6  15.3    29.4
0.065   5      1.215   0.670        0.047   16.5   8.8     75.8   11.3    24.6
0.065   20     4.861   1.000        0.000   14.9   7.7     98.1   10.0    17.3
0.065   50     12.154  0.990        0.010   15.6   7.9     112.9  12.1    15.8
0.065   10     2.431   0.860        0.035   15.7   8.0     89.2   10.6    20.0
0.065   2      0.486   0.340        0.047   15.7   8.2     59.7   10.6    29.4
0.065   100    24.307  1.000        0.000   15.2   8.6     121.4  8.8     14.3
0.065   200    48.614  0.950        0.022   22.4   11.8    143.0  10.7    17.8
