x (mm)   y (mm)   z (mm)   vx (m/s)   vy (m/s)   vz (m/s)   time (ms)   dens
-0.807 1.522 39.88 3.14 2.81 -15.66 0.0
5.63 2.937 47.83 33.75 -4.88 -13.44 1.1639
0 0 0 0 0 0 0
-0.924 1.432 39.32 7.27 -19.18 -9.14 0.0
0.522 0.205 63.5 -19.83 -1.12 68.85 2.3933
0.509 0.204 63.55 -17.99 -2.17 70.45 2.3939
0.508 0.204 63.55 -14.77 1.62 68.37 2.394
0.506 0.204 63.56 -15.12 -1.15 67.31 2.3941
0.504 0.204 63.57 -15.52 3.89 65.97 2.3942
0.499 0.205 63.59 -17.24 4.99 65.62 2.3945
0.495 0.207 63.61 -16.55 5.97 66.93 2.3948
0.48 0.212 63.67 -15.93 6.19 66.17 2.3957
0.475 0.214 63.69 -17.13 5.81 70.09 2.396
0.44 0.226 63.83 -17.82 6.96 74.78 2.398
0.435 0.228 63.85 -18.0 3.04 75.1 2.3983
0.427 0.229 63.89 -20.9 0.77 74.57 2.3988
0.413 0.23 63.93 -17.06 2.25 73.54 2.3994
0.399 0.232 64.0 -19.46 6.94 72.43 2.4003
0.381 0.238 64.06 -20.55 3.31 72.53 2.4012
0.375 0.239 64.08 -20.46 0.79 68.04 2.4015
0.361 0.239 64.13 -20.64 2.42 68.13 2.4022
0.351 0.241 64.16 -17.67 4.8 71.38 2.4026
0.313 0.251 64.32 -16.99 10.57 71.15 2.4048
0.295 0.262 64.39 -18.28 14.68 73.03 2.4059
0.293 0.264 64.4 -18.03 8.35 75.09 2.406
0.277 0.271 64.47 -11.55 11.23 69.23 2.4068
0.272 0.276 64.5 -11.99 12.83 69.9 2.4073
0.263 0.286 64.55 -12.63 7.8 68.88 2.4081
0.259 0.289 64.57 -11.47 6.12 68.95 2.4084
0.253 0.292 64.61 -12.85 3.75 69.29 2.4089
0.24 0.296 64.68 -16.15 4.82 66.93 2.4099
0.23 0.299 64.72 -16.24 0.8 71.34 2.4106
0.219 0.299 64.77 -15.15 1.4 74.49 2.4112
0.202 0.301 64.85 -12.58 -2.3 76.99 2.4123
